"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"< 1 year"	"1"	45665	3494398	1306.8
	"1979"	"1979"	"1-4 years"	"1-4"	8108	12637000	64.2
	"1979"	"1979"	"5-9 years"	"5-9"	5278	16947000	31.1
	"1979"	"1979"	"10-14 years"	"10-14"	5868	18445000	31.8
	"1979"	"1979"	"15-19 years"	"15-19"	21085	21348000	98.8
	"1979"	"1979"	"20-24 years"	"20-24"	27634	21096000	131.0
	"1979"	"1979"	"25-34 years"	"25-34"	47941	36038000	133.0
	"1979"	"1979"	"35-44 years"	"35-44"	57723	25114000	229.8
	"1979"	"1979"	"45-54 years"	"45-54"	135265	22935000	589.8
	"1979"	"1979"	"55-64 years"	"55-64"	286966	21448000	1338.0
	"1979"	"1979"	"65-74 years"	"65-74"	449255	15338000	2929.0
	"1979"	"1979"	"75-84 years"	"75-84"	493676	7598000	6497.4
	"1979"	"1979"	"85+ years"	"85+"	328725	2197000	14962.4
	"1979"	"1979"	"Not Stated"	"NS"	652	Not Applicable	Not Applicable
"Total"	"1979"	"1979"			1913841	224635398	852.0
	"1980"	"1980"	"< 1 year"	"1"	45526	3612258	1260.3
	"1980"	"1980"	"1-4 years"	"1-4"	8187	12814562	63.9
	"1980"	"1980"	"5-9 years"	"5-9"	5075	16699956	30.4
	"1980"	"1980"	"10-14 years"	"10-14"	5614	18242129	30.8
	"1980"	"1980"	"15-19 years"	"15-19"	20733	21168124	97.9
	"1980"	"1980"	"20-24 years"	"20-24"	28294	21318704	132.7
	"1980"	"1980"	"25-34 years"	"25-34"	50240	37081839	135.5
	"1980"	"1980"	"35-44 years"	"35-44"	58418	25634710	227.9
	"1980"	"1980"	"45-54 years"	"45-54"	133157	22799787	584.0
	"1980"	"1980"	"55-64 years"	"55-64"	292181	21702875	1346.3
	"1980"	"1980"	"65-74 years"	"65-74"	466621	15580605	2994.9
	"1980"	"1980"	"75-84 years"	"75-84"	517257	7728755	6692.6
	"1980"	"1980"	"85+ years"	"85+"	357970	2240067	15980.3
	"1980"	"1980"	"Not Stated"	"NS"	568	Not Applicable	Not Applicable
"Total"	"1980"	"1980"			1989841	226624371	878.0
	"1981"	"1981"	"< 1 year"	"1"	43305	3629238	1193.2
	"1981"	"1981"	"1-4 years"	"1-4"	8046	13285279	60.6
	"1981"	"1981"	"5-9 years"	"5-9"	4671	16060121	29.1
	"1981"	"1981"	"10-14 years"	"10-14"	5407	18300407	29.5
	"1981"	"1981"	"15-19 years"	"15-19"	18485	20540557	90.0
	"1981"	"1981"	"20-24 years"	"20-24"	26624	21662844	122.9
	"1981"	"1981"	"25-34 years"	"25-34"	51253	38900521	131.8
	"1981"	"1981"	"35-44 years"	"35-44"	58538	26394390	221.8
	"1981"	"1981"	"45-54 years"	"45-54"	129233	22579535	572.3
	"1981"	"1981"	"55-64 years"	"55-64"	290009	21913823	1323.4
	"1981"	"1981"	"65-74 years"	"65-74"	464648	15889870	2924.2
	"1981"	"1981"	"75-84 years"	"75-84"	514649	7981752	6447.8
	"1981"	"1981"	"85+ years"	"85+"	362499	2349175	15430.9
	"1981"	"1981"	"Not Stated"	"NS"	614	Not Applicable	Not Applicable
"Total"	"1981"	"1981"			1977981	229487512	861.9
	"1982"	"1982"	"< 1 year"	"1"	42401	3680537	1152.0
	"1982"	"1982"	"1-4 years"	"1-4"	7910	13584259	58.2
	"1982"	"1982"	"5-9 years"	"5-9"	4514	15957945	28.3
	"1982"	"1982"	"10-14 years"	"10-14"	5111	18144578	28.2
	"1982"	"1982"	"15-19 years"	"15-19"	17041	19961684	85.4
	"1982"	"1982"	"20-24 years"	"20-24"	24930	21682133	115.0
	"1982"	"1982"	"25-34 years"	"25-34"	49310	39417256	125.1
	"1982"	"1982"	"35-44 years"	"35-44"	58305	28030350	208.0
	"1982"	"1982"	"45-54 years"	"45-54"	123089	22425309	548.9
	"1982"	"1982"	"55-64 years"	"55-64"	287014	22029893	1302.8
	"1982"	"1982"	"65-74 years"	"65-74"	465820	16147900	2884.7
	"1982"	"1982"	"75-84 years"	"75-84"	521959	8202874	6363.1
	"1982"	"1982"	"85+ years"	"85+"	366727	2436707	15050.1
	"1982"	"1982"	"Not Stated"	"NS"	666	Not Applicable	Not Applicable
"Total"	"1982"	"1982"			1974797	231701425	852.3
	"1983"	"1983"	"< 1 year"	"1"	40627	3638933	1116.5
	"1983"	"1983"	"1-4 years"	"1-4"	7801	13897699	56.1
	"1983"	"1983"	"5-9 years"	"5-9"	4259	16053251	26.5
	"1983"	"1983"	"10-14 years"	"10-14"	4884	17868526	27.3
	"1983"	"1983"	"15-19 years"	"15-19"	15717	19387961	81.1
	"1983"	"1983"	"20-24 years"	"20-24"	23365	21632283	108.0
	"1983"	"1983"	"25-34 years"	"25-34"	48782	40207757	121.3
	"1983"	"1983"	"35-44 years"	"35-44"	59349	29267307	202.8
	"1983"	"1983"	"45-54 years"	"45-54"	119893	22355471	536.3
