"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 41 ending October 15, 2022"	"2022/41"	18	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 42 ending October 22, 2022"	"2022/42"	20	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 43 ending October 29, 2022"	"2022/43"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 44 ending November 05, 2022"	"2022/44"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 45 ending November 12, 2022"	"2022/45"	14	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 46 ending November 19, 2022"	"2022/46"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 47 ending November 26, 2022"	"2022/47"	12	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 49 ending December 10, 2022"	"2022/49"	14	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 50 ending December 17, 2022"	"2022/50"	19	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 51 ending December 24, 2022"	"2022/51"	14	Not Applicable	Not Applicable
	"North Carolina"	"37"	"< 1 year"	"1"	"2022 Week 52 ending December 31, 2022"	"2022/52"	15	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 01 ending January 08, 2022"	"2022/01"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 04 ending January 29, 2022"	"2022/04"	12	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 07 ending February 19, 2022"	"2022/07"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 08 ending February 26, 2022"	"2022/08"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 09 ending March 05, 2022"	"2022/09"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 10 ending March 12, 2022"	"2022/10"	10	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 13 ending April 02, 2022"	"2022/13"	12	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 15 ending April 16, 2022"	"2022/15"	10	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 18 ending May 07, 2022"	"2022/18"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 20 ending May 21, 2022"	"2022/20"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 22 ending June 04, 2022"	"2022/22"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 25 ending June 25, 2022"	"2022/25"	12	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 27 ending July 09, 2022"	"2022/27"	12	Not Applicable	Not Applicable
	"North Carolina"	"37"	"15-19 years"	"15-19"	"2022 Week 28 ending July 16, 2022"	"2022/28"	11	Not Applicable	Not Applicable
