Residence State,Five-Year Age Groups,Five-Year Age Groups Code,MMWR Week Code,Deaths
Alabama,< 1 year,1,2018/02,11
Alabama,< 1 year,1,2018/04,11
Alabama,< 1 year,1,2018/05,13
Alabama,< 1 year,1,2018/07,10
Alabama,< 1 year,1,2018/08,16
Alabama,< 1 year,1,2018/17,10
Alabama,< 1 year,1,2018/19,11
Alabama,< 1 year,1,2018/27,12
Alabama,< 1 year,1,2018/30,10
Alabama,< 1 year,1,2018/34,11
Alabama,< 1 year,1,2018/39,15
Alabama,< 1 year,1,2018/41,10
Alabama,< 1 year,1,2018/49,12
Alabama,15-19 years,15-19,2018/47,11
Alabama,20-24 years,20-24,2018/02,10
Alabama,20-24 years,20-24,2018/06,13
Alabama,20-24 years,20-24,2018/12,11
Alabama,20-24 years,20-24,2018/14,10
Alabama,20-24 years,20-24,2018/15,11
Alabama,20-24 years,20-24,2018/17,10
Alabama,20-24 years,20-24,2018/20,11
Alabama,20-24 years,20-24,2018/24,10
Alabama,20-24 years,20-24,2018/25,13
Alabama,20-24 years,20-24,2018/29,14
Alabama,20-24 years,20-24,2018/30,17
Alabama,20-24 years,20-24,2018/32,11
Alabama,20-24 years,20-24,2018/36,10
Alabama,20-24 years,20-24,2018/43,14
Alabama,20-24 years,20-24,2018/48,11
Alabama,25-29 years,25-29,2018/02,17
Alabama,25-29 years,25-29,2018/03,18
Alabama,25-29 years,25-29,2018/05,12
Alabama,25-29 years,25-29,2018/06,15
Alabama,25-29 years,25-29,2018/09,12
Alabama,25-29 years,25-29,2018/10,12
Alabama,25-29 years,25-29,2018/11,16
Alabama,25-29 years,25-29,2018/12,11
Alabama,25-29 years,25-29,2018/13,11
Alabama,25-29 years,25-29,2018/14,11
Alabama,25-29 years,25-29,2018/16,10
Alabama,25-29 years,25-29,2018/17,11
Alabama,25-29 years,25-29,2018/18,10
Alabama,25-29 years,25-29,2018/21,14
Alabama,25-29 years,25-29,2018/22,16
Alabama,25-29 years,25-29,2018/28,16
Alabama,25-29 years,25-29,2018/30,13
Alabama,25-29 years,25-29,2018/31,11
Alabama,25-29 years,25-29,2018/32,12
Alabama,25-29 years,25-29,2018/34,12
Alabama,25-29 years,25-29,2018/36,11
Alabama,25-29 years,25-29,2018/37,13
Alabama,25-29 years,25-29,2018/39,10
Alabama,25-29 years,25-29,2018/40,12
Alabama,25-29 years,25-29,2018/43,11
Alabama,25-29 years,25-29,2018/45,11
Alabama,25-29 years,25-29,2018/46,11
Alabama,25-29 years,25-29,2018/48,12
Alabama,25-29 years,25-29,2018/49,10
Alabama,30-34 years,30-34,2018/01,18
Alabama,30-34 years,30-34,2018/02,12
Alabama,30-34 years,30-34,2018/05,20
Alabama,30-34 years,30-34,2018/06,19
Alabama,30-34 years,30-34,2018/07,10
Alabama,30-34 years,30-34,2018/08,10
Alabama,30-34 years,30-34,2018/09,14
Alabama,30-34 years,30-34,2018/10,10
Alabama,30-34 years,30-34,2018/11,10
Alabama,30-34 years,30-34,2018/13,13
Alabama,30-34 years,30-34,2018/14,12
Alabama,30-34 years,30-34,2018/16,11
Alabama,30-34 years,30-34,2018/17,16
Alabama,30-34 years,30-34,2018/18,18
Alabama,30-34 years,30-34,2018/19,13
Alabama,30-34 years,30-34,2018/21,17
Alabama,30-34 years,30-34,2018/22,13
Alabama,30-34 years,30-34,2018/23,13
Alabama,30-34 years,30-34,2018/24,13
Alabama,30-34 years,30-34,2018/25,11
Alabama,30-34 years,30-34,2018/26,15
Alabama,30-34 years,30-34,2018/27,18
Alabama,30-34 years,30-34,2018/28,16
Alabama,30-34 years,30-34,2018/31,15
Alabama,30-34 years,30-34,2018/32,11
Alabama,30-34 years,30-34,2018/35,10
Alabama,30-34 years,30-34,2018/36,12
Alabama,30-34 years,30-34,2018/38,15
Alabama,30-34 years,30-34,2018/43,13
Alabama,30-34 years,30-34,2018/45,12
Alabama,30-34 years,30-34,2018/46,13
Alabama,30-34 years,30-34,2018/47,12
Alabama,30-34 years,30-34,2018/49,13
Alabama,30-34 years,30-34,2018/50,12
Alabama,30-34 years,30-34,2018/51,12
Alabama,35-39 years,35-39,2018/01,13
Alabama,35-39 years,35-39,2018/02,17
Alabama,35-39 years,35-39,2018/03,12
Alabama,35-39 years,35-39,2018/04,18
Alabama,35-39 years,35-39,2018/05,15
Alabama,35-39 years,35-39,2018/06,12
Alabama,35-39 years,35-39,2018/07,16
Alabama,35-39 years,35-39,2018/08,12
Alabama,35-39 years,35-39,2018/09,12
Alabama,35-39 years,35-39,2018/10,22
Alabama,35-39 years,35-39,2018/11,16
Alabama,35-39 years,35-39,2018/12,10
Alabama,35-39 years,35-39,2018/13,14
Alabama,35-39 years,35-39,2018/14,11
Alabama,35-39 years,35-39,2018/15,20
Alabama,35-39 years,35-39,2018/16,13
Alabama,35-39 years,35-39,2018/18,28
Alabama,35-39 years,35-39,2018/19,18
Alabama,35-39 years,35-39,2018/20,11
Alabama,35-39 years,35-39,2018/21,18
Alabama,35-39 years,35-39,2018/22,16
Alabama,35-39 years,35-39,2018/23,15
Alabama,35-39 years,35-39,2018/24,15
Alabama,35-39 years,35-39,2018/25,19
Alabama,35-39 years,35-39,2018/26,18
Alabama,35-39 years,35-39,2018/27,24
Alabama,35-39 years,35-39,2018/28,13
Alabama,35-39 years,35-39,2018/29,14
Alabama,35-39 years,35-39,2018/30,20
Alabama,35-39 years,35-39,2018/31,25
Alabama,35-39 years,35-39,2018/32,16
Alabama,35-39 years,35-39,2018/33,11
Alabama,35-39 years,35-39,2018/34,12
Alabama,35-39 years,35-39,2018/35,15
Alabama,35-39 years,35-39,2018/36,17
Alabama,35-39 years,35-39,2018/37,16
Alabama,35-39 years,35-39,2018/38,13
Alabama,35-39 years,35-39,2018/39,12
Alabama,35-39 years,35-39,2018/40,12
Alabama,35-39 years,35-39,2018/41,13
Alabama,35-39 years,35-39,2018/42,12
Alabama,35-39 years,35-39,2018/43,14
Alabama,35-39 years,35-39,2018/44,16
Alabama,35-39 years,35-39,2018/45,10
Alabama,35-39 years,35-39,2018/46,19
Alabama,35-39 years,35-39,2018/47,19
Alabama,35-39 years,35-39,2018/49,28
Alabama,35-39 years,35-39,2018/50,20
Alabama,35-39 years,35-39,2018/51,19
Alabama,35-39 years,35-39,2018/52,21
Alabama,40-44 years,40-44,2018/01,12
Alabama,40-44 years,40-44,2018/02,30
Alabama,40-44 years,40-44,2018/03,19
Alabama,40-44 years,40-44,2018/04,22
Alabama,40-44 years,40-44,2018/05,25
Alabama,40-44 years,40-44,2018/06,18
Alabama,40-44 years,40-44,2018/07,15
Alabama,40-44 years,40-44,2018/08,20
Alabama,40-44 years,40-44,2018/09,19
Alabama,40-44 years,40-44,2018/10,18
Alabama,40-44 years,40-44,2018/11,18
Alabama,40-44 years,40-44,2018/12,24
Alabama,40-44 years,40-44,2018/13,20
Alabama,40-44 years,40-44,2018/14,20
Alabama,40-44 years,40-44,2018/15,18
Alabama,40-44 years,40-44,2018/16,27
Alabama,40-44 years,40-44,2018/17,15
Alabama,40-44 years,40-44,2018/18,24
Alabama,40-44 years,40-44,2018/19,16
Alabama,40-44 years,40-44,2018/20,19
Alabama,40-44 years,40-44,2018/21,29
Alabama,40-44 years,40-44,2018/22,22
Alabama,40-44 years,40-44,2018/23,21
Alabama,40-44 years,40-44,2018/24,28
Alabama,40-44 years,40-44,2018/25,18
Alabama,40-44 years,40-44,2018/26,17
Alabama,40-44 years,40-44,2018/27,18
Alabama,40-44 years,40-44,2018/28,15
Alabama,40-44 years,40-44,2018/29,17
Alabama,40-44 years,40-44,2018/30,15
Alabama,40-44 years,40-44,2018/31,16
Alabama,40-44 years,40-44,2018/32,22
Alabama,40-44 years,40-44,2018/33,16
Alabama,40-44 years,40-44,2018/34,22
Alabama,40-44 years,40-44,2018/35,23
Alabama,40-44 years,40-44,2018/36,13
Alabama,40-44 years,40-44,2018/37,11
Alabama,40-44 years,40-44,2018/38,19
Alabama,40-44 years,40-44,2018/39,11
Alabama,40-44 years,40-44,2018/40,23
Alabama,40-44 years,40-44,2018/41,15
Alabama,40-44 years,40-44,2018/42,15
Alabama,40-44 years,40-44,2018/43,14
Alabama,40-44 years,40-44,2018/44,15
Alabama,40-44 years,40-44,2018/45,19
Alabama,40-44 years,40-44,2018/46,12
Alabama,40-44 years,40-44,2018/47,27
Alabama,40-44 years,40-44,2018/48,19
Alabama,40-44 years,40-44,2018/49,19
Alabama,40-44 years,40-44,2018/50,15
Alabama,40-44 years,40-44,2018/51,22
Alabama,40-44 years,40-44,2018/52,23
Alabama,45-49 years,45-49,2018/01,30
Alabama,45-49 years,45-49,2018/02,35
Alabama,45-49 years,45-49,2018/03,34
Alabama,45-49 years,45-49,2018/04,27
Alabama,45-49 years,45-49,2018/05,29
Alabama,45-49 years,45-49,2018/06,33
Alabama,45-49 years,45-49,2018/07,30
Alabama,45-49 years,45-49,2018/08,36
Alabama,45-49 years,45-49,2018/09,21
Alabama,45-49 years,45-49,2018/10,37
Alabama,45-49 years,45-49,2018/11,25
Alabama,45-49 years,45-49,2018/12,25
Alabama,45-49 years,45-49,2018/13,35
Alabama,45-49 years,45-49,2018/14,30
Alabama,45-49 years,45-49,2018/15,19
Alabama,45-49 years,45-49,2018/16,32
Alabama,45-49 years,45-49,2018/17,20
Alabama,45-49 years,45-49,2018/18,29
Alabama,45-49 years,45-49,2018/19,21
Alabama,45-49 years,45-49,2018/20,33
Alabama,45-49 years,45-49,2018/21,23
Alabama,45-49 years,45-49,2018/22,33
Alabama,45-49 years,45-49,2018/23,24
Alabama,45-49 years,45-49,2018/24,20
Alabama,45-49 years,45-49,2018/25,26
Alabama,45-49 years,45-49,2018/26,28
Alabama,45-49 years,45-49,2018/27,26
Alabama,45-49 years,45-49,2018/28,21
Alabama,45-49 years,45-49,2018/29,33
Alabama,45-49 years,45-49,2018/30,29
Alabama,45-49 years,45-49,2018/31,28
Alabama,45-49 years,45-49,2018/32,37
Alabama,45-49 years,45-49,2018/33,30
Alabama,45-49 years,45-49,2018/34,28
Alabama,45-49 years,45-49,2018/35,26
Alabama,45-49 years,45-49,2018/36,26
Alabama,45-49 years,45-49,2018/37,24
Alabama,45-49 years,45-49,2018/38,24
Alabama,45-49 years,45-49,2018/39,32
Alabama,45-49 years,45-49,2018/40,26
Alabama,45-49 years,45-49,2018/41,22
Alabama,45-49 years,45-49,2018/42,32
Alabama,45-49 years,45-49,2018/43,25
Alabama,45-49 years,45-49,2018/44,26
Alabama,45-49 years,45-49,2018/45,23
Alabama,45-49 years,45-49,2018/46,29
Alabama,45-49 years,45-49,2018/47,23
Alabama,45-49 years,45-49,2018/48,31
Alabama,45-49 years,45-49,2018/49,16
Alabama,45-49 years,45-49,2018/50,31
Alabama,45-49 years,45-49,2018/51,34
Alabama,45-49 years,45-49,2018/52,35
Alabama,50-54 years,50-54,2018/01,35
Alabama,50-54 years,50-54,2018/02,66
Alabama,50-54 years,50-54,2018/03,55
Alabama,50-54 years,50-54,2018/04,50
Alabama,50-54 years,50-54,2018/05,37
Alabama,50-54 years,50-54,2018/06,33
Alabama,50-54 years,50-54,2018/07,37
Alabama,50-54 years,50-54,2018/08,45
Alabama,50-54 years,50-54,2018/09,41
Alabama,50-54 years,50-54,2018/10,40
Alabama,50-54 years,50-54,2018/11,39
Alabama,50-54 years,50-54,2018/12,38
Alabama,50-54 years,50-54,2018/13,43
Alabama,50-54 years,50-54,2018/14,40
Alabama,50-54 years,50-54,2018/15,41
Alabama,50-54 years,50-54,2018/16,40
Alabama,50-54 years,50-54,2018/17,35
Alabama,50-54 years,50-54,2018/18,54
Alabama,50-54 years,50-54,2018/19,58
Alabama,50-54 years,50-54,2018/20,39
Alabama,50-54 years,50-54,2018/21,41
Alabama,50-54 years,50-54,2018/22,31
Alabama,50-54 years,50-54,2018/23,39
Alabama,50-54 years,50-54,2018/24,50
Alabama,50-54 years,50-54,2018/25,32
Alabama,50-54 years,50-54,2018/26,36
Alabama,50-54 years,50-54,2018/27,45
Alabama,50-54 years,50-54,2018/28,35
Alabama,50-54 years,50-54,2018/29,33
Alabama,50-54 years,50-54,2018/30,44
Alabama,50-54 years,50-54,2018/31,44
Alabama,50-54 years,50-54,2018/32,31
Alabama,50-54 years,50-54,2018/33,42
Alabama,50-54 years,50-54,2018/34,44
Alabama,50-54 years,50-54,2018/35,38
Alabama,50-54 years,50-54,2018/36,46
Alabama,50-54 years,50-54,2018/37,37
Alabama,50-54 years,50-54,2018/38,42
Alabama,50-54 years,50-54,2018/39,33
Alabama,50-54 years,50-54,2018/40,38
Alabama,50-54 years,50-54,2018/41,30
Alabama,50-54 years,50-54,2018/42,27
Alabama,50-54 years,50-54,2018/43,48
Alabama,50-54 years,50-54,2018/44,32
Alabama,50-54 years,50-54,2018/45,28
Alabama,50-54 years,50-54,2018/46,40
Alabama,50-54 years,50-54,2018/47,27
Alabama,50-54 years,50-54,2018/48,54
Alabama,50-54 years,50-54,2018/49,42
Alabama,50-54 years,50-54,2018/50,47
Alabama,50-54 years,50-54,2018/51,48
Alabama,50-54 years,50-54,2018/52,48
Alabama,55-59 years,55-59,2018/01,68
Alabama,55-59 years,55-59,2018/02,88
Alabama,55-59 years,55-59,2018/03,83
Alabama,55-59 years,55-59,2018/04,82
Alabama,55-59 years,55-59,2018/05,76
Alabama,55-59 years,55-59,2018/06,87
