Residence State,Five-Year Age Groups,Five-Year Age Groups Code,MMWR Week Code,Deaths
Alabama,30-34 years,30-34,2024/01,10
Alabama,30-34 years,30-34,2024/02,18
Alabama,30-34 years,30-34,2024/03,15
Alabama,30-34 years,30-34,2024/04,17
Alabama,30-34 years,30-34,2024/05,14
Alabama,30-34 years,30-34,2024/06,14
Alabama,30-34 years,30-34,2024/07,17
Alabama,30-34 years,30-34,2024/08,12
Alabama,30-34 years,30-34,2024/09,16
Alabama,30-34 years,30-34,2024/10,12
Alabama,30-34 years,30-34,2024/11,14
Alabama,30-34 years,30-34,2024/12,14
Alabama,30-34 years,30-34,2024/13,17
Alabama,30-34 years,30-34,2024/14,15
Alabama,30-34 years,30-34,2024/15,12
Alabama,30-34 years,30-34,2024/16,16
Alabama,30-34 years,30-34,2024/17,11
Alabama,30-34 years,30-34,2024/18,13
Alabama,30-34 years,30-34,2024/19,10
Alabama,30-34 years,30-34,2024/20,11
Alabama,30-34 years,30-34,2024/21,13
Alabama,30-34 years,30-34,2024/22,10
Alabama,30-34 years,30-34,2024/23,18
Alabama,30-34 years,30-34,2024/24,11
Alabama,30-34 years,30-34,2024/26,13
Alabama,30-34 years,30-34,2024/27,11
Alabama,30-34 years,30-34,2024/28,12
Alabama,30-34 years,30-34,2024/29,10
Alabama,30-34 years,30-34,2024/30,10
Alabama,30-34 years,30-34,2024/32,17
Alabama,30-34 years,30-34,2024/33,13
Alabama,30-34 years,30-34,2024/34,13
Alabama,30-34 years,30-34,2024/35,12
Alabama,30-34 years,30-34,2024/36,17
Alabama,30-34 years,30-34,2024/37,10
Alabama,30-34 years,30-34,2024/38,11
Alabama,30-34 years,30-34,2024/39,13
Alabama,30-34 years,30-34,2024/40,14
Alabama,30-34 years,30-34,2024/41,14
Alabama,30-34 years,30-34,2024/42,10
Alabama,30-34 years,30-34,2024/43,17
Alabama,30-34 years,30-34,2024/45,11
Alabama,35-39 years,35-39,2024/01,18
Alabama,35-39 years,35-39,2024/02,22
Alabama,35-39 years,35-39,2024/03,12
Alabama,35-39 years,35-39,2024/04,15
Alabama,35-39 years,35-39,2024/05,14
Alabama,35-39 years,35-39,2024/06,13
Alabama,35-39 years,35-39,2024/07,23
Alabama,35-39 years,35-39,2024/08,15
Alabama,35-39 years,35-39,2024/09,18
Alabama,35-39 years,35-39,2024/10,18
Alabama,35-39 years,35-39,2024/11,19
Alabama,35-39 years,35-39,2024/12,13
Alabama,35-39 years,35-39,2024/13,17
Alabama,35-39 years,35-39,2024/14,19
Alabama,35-39 years,35-39,2024/15,17
Alabama,35-39 years,35-39,2024/16,12
Alabama,35-39 years,35-39,2024/17,10
Alabama,35-39 years,35-39,2024/18,26
Alabama,35-39 years,35-39,2024/19,22
Alabama,35-39 years,35-39,2024/20,14
Alabama,35-39 years,35-39,2024/21,21
Alabama,35-39 years,35-39,2024/22,17
Alabama,35-39 years,35-39,2024/23,24
Alabama,35-39 years,35-39,2024/24,15
Alabama,35-39 years,35-39,2024/25,12
Alabama,35-39 years,35-39,2024/26,15
Alabama,35-39 years,35-39,2024/27,21
Alabama,35-39 years,35-39,2024/28,18
Alabama,35-39 years,35-39,2024/29,12
Alabama,35-39 years,35-39,2024/30,23
Alabama,35-39 years,35-39,2024/31,20
Alabama,35-39 years,35-39,2024/32,21
Alabama,35-39 years,35-39,2024/33,15
Alabama,35-39 years,35-39,2024/34,13
Alabama,35-39 years,35-39,2024/35,15
Alabama,35-39 years,35-39,2024/36,11
Alabama,35-39 years,35-39,2024/37,31
Alabama,35-39 years,35-39,2024/38,17
Alabama,35-39 years,35-39,2024/40,14
Alabama,35-39 years,35-39,2024/41,15
Alabama,35-39 years,35-39,2024/42,12
Alabama,35-39 years,35-39,2024/43,23
Alabama,35-39 years,35-39,2024/44,14
Alabama,35-39 years,35-39,2024/45,14
Alabama,35-39 years,35-39,2024/46,12
Alabama,35-39 years,35-39,2024/47,15
Alabama,40-44 years,40-44,2024/01,21
Alabama,40-44 years,40-44,2024/02,27
Alabama,40-44 years,40-44,2024/03,25
Alabama,40-44 years,40-44,2024/04,32
Alabama,40-44 years,40-44,2024/05,29
Alabama,40-44 years,40-44,2024/06,29
Alabama,40-44 years,40-44,2024/07,31
Alabama,40-44 years,40-44,2024/08,35
Alabama,40-44 years,40-44,2024/09,32
Alabama,40-44 years,40-44,2024/10,20
Alabama,40-44 years,40-44,2024/11,22
Alabama,40-44 years,40-44,2024/12,17
Alabama,40-44 years,40-44,2024/13,15
