Residence State,Five-Year Age Groups,Five-Year Age Groups Code,MMWR Week Code,Deaths
Alabama,< 1 year,1,2023/06,13
Alabama,< 1 year,1,2023/08,13
Alabama,< 1 year,1,2023/12,12
Alabama,< 1 year,1,2023/16,10
Alabama,< 1 year,1,2023/19,11
Alabama,< 1 year,1,2023/20,11
Alabama,< 1 year,1,2023/22,11
Alabama,< 1 year,1,2023/23,14
Alabama,< 1 year,1,2023/34,16
Alabama,< 1 year,1,2023/35,10
Alabama,< 1 year,1,2023/36,10
Alabama,< 1 year,1,2023/48,11
Alabama,< 1 year,1,2023/49,13
Alabama,< 1 year,1,2023/51,16
Alabama,< 1 year,1,2023/52,13
Alabama,15-19 years,15-19,2023/02,10
Alabama,15-19 years,15-19,2023/13,10
Alabama,15-19 years,15-19,2023/25,11
Alabama,15-19 years,15-19,2023/47,13
Alabama,15-19 years,15-19,2023/50,11
Alabama,20-24 years,20-24,2023/01,10
Alabama,20-24 years,20-24,2023/02,16
Alabama,20-24 years,20-24,2023/03,12
Alabama,20-24 years,20-24,2023/05,10
Alabama,20-24 years,20-24,2023/10,13
Alabama,20-24 years,20-24,2023/15,11
Alabama,20-24 years,20-24,2023/18,11
Alabama,20-24 years,20-24,2023/19,13
Alabama,20-24 years,20-24,2023/22,10
Alabama,20-24 years,20-24,2023/24,12
Alabama,20-24 years,20-24,2023/25,12
Alabama,20-24 years,20-24,2023/28,10
Alabama,20-24 years,20-24,2023/29,10
Alabama,20-24 years,20-24,2023/32,13
Alabama,20-24 years,20-24,2023/34,12
Alabama,20-24 years,20-24,2023/37,10
Alabama,20-24 years,20-24,2023/40,15
Alabama,20-24 years,20-24,2023/46,12
Alabama,20-24 years,20-24,2023/52,13
Alabama,25-29 years,25-29,2023/01,19
Alabama,25-29 years,25-29,2023/03,14
Alabama,25-29 years,25-29,2023/05,12
Alabama,25-29 years,25-29,2023/06,12
Alabama,25-29 years,25-29,2023/08,17
Alabama,25-29 years,25-29,2023/09,13
Alabama,25-29 years,25-29,2023/10,14
Alabama,25-29 years,25-29,2023/13,13
Alabama,25-29 years,25-29,2023/14,12
Alabama,25-29 years,25-29,2023/15,10
Alabama,25-29 years,25-29,2023/17,16
Alabama,25-29 years,25-29,2023/19,15
Alabama,25-29 years,25-29,2023/20,18
Alabama,25-29 years,25-29,2023/21,19
Alabama,25-29 years,25-29,2023/22,14
Alabama,25-29 years,25-29,2023/24,10
Alabama,25-29 years,25-29,2023/26,15
Alabama,25-29 years,25-29,2023/27,10
Alabama,25-29 years,25-29,2023/28,14
Alabama,25-29 years,25-29,2023/29,13
Alabama,25-29 years,25-29,2023/31,10
Alabama,25-29 years,25-29,2023/32,10
Alabama,25-29 years,25-29,2023/33,11
Alabama,25-29 years,25-29,2023/34,10
Alabama,25-29 years,25-29,2023/35,13
Alabama,25-29 years,25-29,2023/37,15
Alabama,25-29 years,25-29,2023/38,12
Alabama,25-29 years,25-29,2023/40,11
Alabama,25-29 years,25-29,2023/42,12
Alabama,25-29 years,25-29,2023/45,13
Alabama,25-29 years,25-29,2023/46,13
Alabama,25-29 years,25-29,2023/47,10
Alabama,25-29 years,25-29,2023/51,14
Alabama,25-29 years,25-29,2023/52,11
Alabama,30-34 years,30-34,2023/01,14
Alabama,30-34 years,30-34,2023/02,22
Alabama,30-34 years,30-34,2023/03,19
Alabama,30-34 years,30-34,2023/04,13
Alabama,30-34 years,30-34,2023/05,18
Alabama,30-34 years,30-34,2023/06,19
Alabama,30-34 years,30-34,2023/07,13
Alabama,30-34 years,30-34,2023/08,14
Alabama,30-34 years,30-34,2023/09,15
Alabama,30-34 years,30-34,2023/10,19
Alabama,30-34 years,30-34,2023/11,18
Alabama,30-34 years,30-34,2023/12,16
Alabama,30-34 years,30-34,2023/13,16
Alabama,30-34 years,30-34,2023/15,10
Alabama,30-34 years,30-34,2023/16,19
Alabama,30-34 years,30-34,2023/17,15
Alabama,30-34 years,30-34,2023/18,17
Alabama,30-34 years,30-34,2023/19,12
Alabama,30-34 years,30-34,2023/20,13
Alabama,30-34 years,30-34,2023/21,12
Alabama,30-34 years,30-34,2023/22,18
Alabama,30-34 years,30-34,2023/23,16
Alabama,30-34 years,30-34,2023/24,14
Alabama,30-34 years,30-34,2023/25,10
Alabama,30-34 years,30-34,2023/27,17
Alabama,30-34 years,30-34,2023/28,24
Alabama,30-34 years,30-34,2023/29,16
Alabama,30-34 years,30-34,2023/30,15
Alabama,30-34 years,30-34,2023/31,22
Alabama,30-34 years,30-34,2023/32,19
Alabama,30-34 years,30-34,2023/33,14
Alabama,30-34 years,30-34,2023/34,23
Alabama,30-34 years,30-34,2023/35,14
Alabama,30-34 years,30-34,2023/36,13
Alabama,30-34 years,30-34,2023/37,20
Alabama,30-34 years,30-34,2023/38,12
Alabama,30-34 years,30-34,2023/39,12
Alabama,30-34 years,30-34,2023/40,15
Alabama,30-34 years,30-34,2023/41,19
Alabama,30-34 years,30-34,2023/43,15
Alabama,30-34 years,30-34,2023/44,11
Alabama,30-34 years,30-34,2023/45,11
Alabama,30-34 years,30-34,2023/46,18
Alabama,30-34 years,30-34,2023/47,11
Alabama,30-34 years,30-34,2023/48,12
Alabama,30-34 years,30-34,2023/50,17
Alabama,30-34 years,30-34,2023/51,15
Alabama,30-34 years,30-34,2023/52,16
Alabama,35-39 years,35-39,2023/01,26
Alabama,35-39 years,35-39,2023/02,17
Alabama,35-39 years,35-39,2023/03,20
Alabama,35-39 years,35-39,2023/04,28
Alabama,35-39 years,35-39,2023/05,16
Alabama,35-39 years,35-39,2023/06,13
Alabama,35-39 years,35-39,2023/07,22
Alabama,35-39 years,35-39,2023/08,25
Alabama,35-39 years,35-39,2023/09,13
Alabama,35-39 years,35-39,2023/10,20
Alabama,35-39 years,35-39,2023/11,20
Alabama,35-39 years,35-39,2023/12,23
Alabama,35-39 years,35-39,2023/13,18
Alabama,35-39 years,35-39,2023/14,21
Alabama,35-39 years,35-39,2023/15,13
Alabama,35-39 years,35-39,2023/16,19
Alabama,35-39 years,35-39,2023/17,16
Alabama,35-39 years,35-39,2023/18,28
Alabama,35-39 years,35-39,2023/19,26
Alabama,35-39 years,35-39,2023/20,26
Alabama,35-39 years,35-39,2023/21,17
Alabama,35-39 years,35-39,2023/22,20
Alabama,35-39 years,35-39,2023/23,17
Alabama,35-39 years,35-39,2023/24,20
Alabama,35-39 years,35-39,2023/25,23
Alabama,35-39 years,35-39,2023/26,27
Alabama,35-39 years,35-39,2023/27,23
Alabama,35-39 years,35-39,2023/28,21
Alabama,35-39 years,35-39,2023/29,24
Alabama,35-39 years,35-39,2023/30,20
Alabama,35-39 years,35-39,2023/31,19
Alabama,35-39 years,35-39,2023/32,22
Alabama,35-39 years,35-39,2023/33,23
Alabama,35-39 years,35-39,2023/35,23
Alabama,35-39 years,35-39,2023/36,22
Alabama,35-39 years,35-39,2023/37,18
Alabama,35-39 years,35-39,2023/38,22
Alabama,35-39 years,35-39,2023/39,24
Alabama,35-39 years,35-39,2023/40,18
Alabama,35-39 years,35-39,2023/41,13
Alabama,35-39 years,35-39,2023/42,19
Alabama,35-39 years,35-39,2023/43,21
Alabama,35-39 years,35-39,2023/44,24
Alabama,35-39 years,35-39,2023/45,19
Alabama,35-39 years,35-39,2023/46,21
Alabama,35-39 years,35-39,2023/47,11
Alabama,35-39 years,35-39,2023/48,21
Alabama,35-39 years,35-39,2023/49,16
Alabama,35-39 years,35-39,2023/50,24
Alabama,35-39 years,35-39,2023/51,13
Alabama,35-39 years,35-39,2023/52,20
Alabama,40-44 years,40-44,2023/01,32
Alabama,40-44 years,40-44,2023/02,25
Alabama,40-44 years,40-44,2023/03,21
Alabama,40-44 years,40-44,2023/04,34
Alabama,40-44 years,40-44,2023/05,30
Alabama,40-44 years,40-44,2023/06,16
Alabama,40-44 years,40-44,2023/07,25
Alabama,40-44 years,40-44,2023/08,26
Alabama,40-44 years,40-44,2023/09,33
Alabama,40-44 years,40-44,2023/10,29
Alabama,40-44 years,40-44,2023/11,27
Alabama,40-44 years,40-44,2023/12,25
Alabama,40-44 years,40-44,2023/13,33
Alabama,40-44 years,40-44,2023/14,35
Alabama,40-44 years,40-44,2023/15,21
Alabama,40-44 years,40-44,2023/16,22
Alabama,40-44 years,40-44,2023/17,18
Alabama,40-44 years,40-44,2023/18,34
Alabama,40-44 years,40-44,2023/19,26
Alabama,40-44 years,40-44,2023/20,27
Alabama,40-44 years,40-44,2023/21,21
Alabama,40-44 years,40-44,2023/22,19
Alabama,40-44 years,40-44,2023/23,24
Alabama,40-44 years,40-44,2023/24,22
Alabama,40-44 years,40-44,2023/25,23
Alabama,40-44 years,40-44,2023/26,29
Alabama,40-44 years,40-44,2023/27,21
Alabama,40-44 years,40-44,2023/28,25
Alabama,40-44 years,40-44,2023/29,23
Alabama,40-44 years,40-44,2023/30,14
Alabama,40-44 years,40-44,2023/31,25
Alabama,40-44 years,40-44,2023/32,23
Alabama,40-44 years,40-44,2023/33,15
Alabama,40-44 years,40-44,2023/34,29
Alabama,40-44 years,40-44,2023/35,29
Alabama,40-44 years,40-44,2023/36,19
Alabama,40-44 years,40-44,2023/37,35
Alabama,40-44 years,40-44,2023/38,19
Alabama,40-44 years,40-44,2023/39,21
Alabama,40-44 years,40-44,2023/40,25
Alabama,40-44 years,40-44,2023/41,26
Alabama,40-44 years,40-44,2023/42,16
Alabama,40-44 years,40-44,2023/43,23
Alabama,40-44 years,40-44,2023/44,26
Alabama,40-44 years,40-44,2023/45,27
Alabama,40-44 years,40-44,2023/46,26
Alabama,40-44 years,40-44,2023/47,22
Alabama,40-44 years,40-44,2023/48,31
Alabama,40-44 years,40-44,2023/49,27
Alabama,40-44 years,40-44,2023/50,29
Alabama,40-44 years,40-44,2023/51,31
Alabama,40-44 years,40-44,2023/52,27
Alabama,45-49 years,45-49,2023/01,28
Alabama,45-49 years,45-49,2023/02,31
Alabama,45-49 years,45-49,2023/03,29
Alabama,45-49 years,45-49,2023/04,38
Alabama,45-49 years,45-49,2023/05,28
Alabama,45-49 years,45-49,2023/06,40
Alabama,45-49 years,45-49,2023/07,29
Alabama,45-49 years,45-49,2023/08,34
Alabama,45-49 years,45-49,2023/09,30
Alabama,45-49 years,45-49,2023/10,32
Alabama,45-49 years,45-49,2023/11,29
Alabama,45-49 years,45-49,2023/12,30
Alabama,45-49 years,45-49,2023/13,31
Alabama,45-49 years,45-49,2023/14,43
Alabama,45-49 years,45-49,2023/15,29
Alabama,45-49 years,45-49,2023/16,28
Alabama,45-49 years,45-49,2023/17,35
Alabama,45-49 years,45-49,2023/18,45
Alabama,45-49 years,45-49,2023/19,30
