MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2018 Week 27 ending July 07, 2018",2018/27,40-44 years,40-44,821,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,45-49 years,45-49,1233,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,50-54 years,50-54,1917,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,55-59 years,55-59,3038,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,60-64 years ,60-64,4051,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,65-69 years,65-69,4629,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,70-74 years,70-74,5340,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,75-79 years,75-79,5896,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,80-84 years,80-84,6271,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,85-89 years,85-89,6754,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,90-94 years,90-94,5414,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,95-99 years,95-99,2495,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,100+ years,100+,532,Not Applicable,Not Applicable
"2018 Week 27 ending July 07, 2018",2018/27,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,< 1 year,1,433,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,1-4 years,1-4,72,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,5-9 years,5-9,48,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,10-14 years,10-14,39,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,15-19 years,15-19,200,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,20-24 years,20-24,403,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,25-29 years,25-29,541,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,30-34 years,30-34,619,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,35-39 years,35-39,764,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,40-44 years,40-44,804,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,45-49 years,45-49,1303,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,50-54 years,50-54,1911,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,55-59 years,55-59,3002,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,60-64 years ,60-64,3963,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,65-69 years,65-69,4528,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,70-74 years,70-74,5272,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,75-79 years,75-79,5625,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,80-84 years,80-84,6428,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,85-89 years,85-89,6746,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,90-94 years,90-94,5461,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,95-99 years,95-99,2534,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,100+ years,100+,494,Not Applicable,Not Applicable
"2018 Week 28 ending July 14, 2018",2018/28,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,< 1 year,1,402,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,1-4 years,1-4,87,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,5-9 years,5-9,47,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,10-14 years,10-14,59,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,15-19 years,15-19,194,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,20-24 years,20-24,400,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,25-29 years,25-29,535,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,30-34 years,30-34,590,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,35-39 years,35-39,747,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,40-44 years,40-44,806,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,45-49 years,45-49,1223,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,50-54 years,50-54,1869,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,55-59 years,55-59,2895,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,60-64 years ,60-64,4006,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,65-69 years,65-69,4502,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,70-74 years,70-74,5146,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,75-79 years,75-79,5621,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,80-84 years,80-84,6209,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,85-89 years,85-89,6672,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,90-94 years,90-94,5609,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,95-99 years,95-99,2451,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,100+ years,100+,536,Not Applicable,Not Applicable
"2018 Week 29 ending July 21, 2018",2018/29,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,< 1 year,1,410,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,1-4 years,1-4,87,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,5-9 years,5-9,47,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,10-14 years,10-14,56,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,15-19 years,15-19,238,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,20-24 years,20-24,400,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,25-29 years,25-29,570,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,30-34 years,30-34,603,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,35-39 years,35-39,747,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,40-44 years,40-44,809,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,45-49 years,45-49,1201,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,50-54 years,50-54,1866,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,55-59 years,55-59,2952,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,60-64 years ,60-64,3815,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,65-69 years,65-69,4477,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,70-74 years,70-74,5274,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,75-79 years,75-79,5693,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,80-84 years,80-84,6094,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,85-89 years,85-89,6599,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,90-94 years,90-94,5432,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,95-99 years,95-99,2410,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,100+ years,100+,489,Not Applicable,Not Applicable
"2018 Week 30 ending July 28, 2018",2018/30,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,< 1 year,1,389,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,1-4 years,1-4,66,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,5-9 years,5-9,42,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,10-14 years,10-14,60,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,15-19 years,15-19,215,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,20-24 years,20-24,364,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,25-29 years,25-29,523,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,30-34 years,30-34,645,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,35-39 years,35-39,714,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,40-44 years,40-44,869,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,45-49 years,45-49,1218,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,50-54 years,50-54,1854,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,55-59 years,55-59,3092,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,60-64 years ,60-64,3940,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,65-69 years,65-69,4507,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,70-74 years,70-74,5274,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,75-79 years,75-79,5861,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,80-84 years,80-84,6133,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,85-89 years,85-89,6502,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,90-94 years,90-94,5376,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,95-99 years,95-99,2466,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,100+ years,100+,525,Not Applicable,Not Applicable
"2018 Week 31 ending August 04, 2018",2018/31,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,< 1 year,1,386,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,1-4 years,1-4,79,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,5-9 years,5-9,53,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,10-14 years,10-14,56,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,15-19 years,15-19,201,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,20-24 years,20-24,429,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,25-29 years,25-29,529,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,30-34 years,30-34,607,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,35-39 years,35-39,764,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,40-44 years,40-44,883,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,45-49 years,45-49,1323,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,50-54 years,50-54,1943,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,55-59 years,55-59,3078,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,60-64 years ,60-64,3939,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,65-69 years,65-69,4535,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,70-74 years,70-74,5167,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,75-79 years,75-79,5881,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,80-84 years,80-84,6089,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,85-89 years,85-89,6646,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,90-94 years,90-94,5431,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,95-99 years,95-99,2426,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,100+ years,100+,520,Not Applicable,Not Applicable
"2018 Week 32 ending August 11, 2018",2018/32,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,< 1 year,1,400,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,1-4 years,1-4,78,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,5-9 years,5-9,38,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,10-14 years,10-14,48,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,15-19 years,15-19,168,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,20-24 years,20-24,354,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,25-29 years,25-29,554,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,30-34 years,30-34,585,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,35-39 years,35-39,701,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,40-44 years,40-44,858,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,45-49 years,45-49,1222,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,50-54 years,50-54,1791,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,55-59 years,55-59,2877,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,60-64 years ,60-64,3938,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,65-69 years,65-69,4562,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,70-74 years,70-74,5222,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,75-79 years,75-79,5743,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,80-84 years,80-84,6102,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,85-89 years,85-89,6624,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,90-94 years,90-94,5486,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,95-99 years,95-99,2440,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,100+ years,100+,507,Not Applicable,Not Applicable
"2018 Week 33 ending August 18, 2018",2018/33,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,< 1 year,1,436,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,1-4 years,1-4,73,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,5-9 years,5-9,31,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,10-14 years,10-14,67,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,15-19 years,15-19,183,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,20-24 years,20-24,355,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,25-29 years,25-29,572,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,30-34 years,30-34,593,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,35-39 years,35-39,697,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,40-44 years,40-44,772,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,45-49 years,45-49,1195,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,50-54 years,50-54,1856,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,55-59 years,55-59,2883,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,60-64 years ,60-64,3918,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,65-69 years,65-69,4463,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,70-74 years,70-74,5385,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,75-79 years,75-79,5717,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,80-84 years,80-84,6347,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,85-89 years,85-89,6546,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,90-94 years,90-94,5427,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,95-99 years,95-99,2415,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,100+ years,100+,525,Not Applicable,Not Applicable
"2018 Week 34 ending August 25, 2018",2018/34,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,< 1 year,1,410,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,1-4 years,1-4,79,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,5-9 years,5-9,44,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,10-14 years,10-14,56,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,15-19 years,15-19,195,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,20-24 years,20-24,389,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,25-29 years,25-29,503,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,30-34 years,30-34,655,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,35-39 years,35-39,716,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,40-44 years,40-44,800,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,45-49 years,45-49,1165,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,50-54 years,50-54,1803,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,55-59 years,55-59,2951,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,60-64 years ,60-64,3833,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,65-69 years,65-69,4499,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,70-74 years,70-74,5371,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,75-79 years,75-79,5696,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,80-84 years,80-84,6173,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,85-89 years,85-89,6612,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,90-94 years,90-94,5529,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,95-99 years,95-99,2587,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,100+ years,100+,542,Not Applicable,Not Applicable
"2018 Week 35 ending September 01, 2018",2018/35,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,< 1 year,1,415,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,1-4 years,1-4,65,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,5-9 years,5-9,43,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,10-14 years,10-14,56,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,15-19 years,15-19,203,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,20-24 years,20-24,400,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,25-29 years,25-29,561,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,30-34 years,30-34,666,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,35-39 years,35-39,721,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,40-44 years,40-44,826,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,45-49 years,45-49,1261,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,50-54 years,50-54,1854,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,55-59 years,55-59,2954,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,60-64 years ,60-64,3856,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,65-69 years,65-69,4553,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,70-74 years,70-74,5103,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,75-79 years,75-79,5728,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,80-84 years,80-84,6159,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,85-89 years,85-89,6543,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,90-94 years,90-94,5405,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,95-99 years,95-99,2438,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,100+ years,100+,487,Not Applicable,Not Applicable
"2018 Week 36 ending September 08, 2018",2018/36,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,< 1 year,1,407,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,1-4 years,1-4,75,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,5-9 years,5-9,41,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,10-14 years,10-14,48,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,15-19 years,15-19,198,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,20-24 years,20-24,397,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,25-29 years,25-29,550,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,30-34 years,30-34,592,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,35-39 years,35-39,713,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,40-44 years,40-44,859,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,45-49 years,45-49,1235,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,50-54 years,50-54,1851,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,55-59 years,55-59,3036,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,60-64 years ,60-64,3885,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,65-69 years,65-69,4504,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,70-74 years,70-74,5356,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,75-79 years,75-79,5725,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,80-84 years,80-84,6273,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,85-89 years,85-89,6718,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,90-94 years,90-94,5541,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,95-99 years,95-99,2588,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,100+ years,100+,490,Not Applicable,Not Applicable
"2018 Week 37 ending September 15, 2018",2018/37,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,< 1 year,1,442,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,1-4 years,1-4,77,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,5-9 years,5-9,43,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,10-14 years,10-14,67,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,15-19 years,15-19,196,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,20-24 years,20-24,383,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,25-29 years,25-29,525,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,30-34 years,30-34,632,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,35-39 years,35-39,724,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,40-44 years,40-44,852,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,45-49 years,45-49,1202,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,50-54 years,50-54,1906,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,55-59 years,55-59,2940,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,60-64 years ,60-64,3816,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,65-69 years,65-69,4700,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,70-74 years,70-74,5340,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,75-79 years,75-79,5905,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,80-84 years,80-84,6384,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,85-89 years,85-89,6827,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,90-94 years,90-94,5501,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,95-99 years,95-99,2575,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,100+ years,100+,543,Not Applicable,Not Applicable
"2018 Week 38 ending September 22, 2018",2018/38,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,< 1 year,1,443,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,1-4 years,1-4,65,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,5-9 years,5-9,34,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,10-14 years,10-14,56,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,15-19 years,15-19,219,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,20-24 years,20-24,362,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,25-29 years,25-29,501,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,30-34 years,30-34,551,Not Applicable,Not Applicable
"2018 Week 39 ending September 29, 2018",2018/39,35-39 years,35-39,729,Not Applicable,Not Applicable
