MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2018 Week 03 ending January 20, 2018",2018/03,75-79 years,75-79,7254,Not Applicable,Not Applicable
"2018 Week 03 ending January 20, 2018",2018/03,80-84 years,80-84,8259,Not Applicable,Not Applicable
"2018 Week 03 ending January 20, 2018",2018/03,85-89 years,85-89,9298,Not Applicable,Not Applicable
"2018 Week 03 ending January 20, 2018",2018/03,90-94 years,90-94,7933,Not Applicable,Not Applicable
"2018 Week 03 ending January 20, 2018",2018/03,95-99 years,95-99,3666,Not Applicable,Not Applicable
"2018 Week 03 ending January 20, 2018",2018/03,100+ years,100+,765,Not Applicable,Not Applicable
"2018 Week 03 ending January 20, 2018",2018/03,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,< 1 year,1,473,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,1-4 years,1-4,86,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,5-9 years,5-9,52,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,10-14 years,10-14,52,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,15-19 years,15-19,215,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,20-24 years,20-24,400,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,25-29 years,25-29,533,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,30-34 years,30-34,617,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,35-39 years,35-39,742,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,40-44 years,40-44,787,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,45-49 years,45-49,1318,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,50-54 years,50-54,2115,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,55-59 years,55-59,3351,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,60-64 years ,60-64,4501,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,65-69 years,65-69,5363,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,70-74 years,70-74,6132,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,75-79 years,75-79,6999,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,80-84 years,80-84,8033,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,85-89 years,85-89,9043,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,90-94 years,90-94,7709,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,95-99 years,95-99,3575,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,100+ years,100+,684,Not Applicable,Not Applicable
"2018 Week 04 ending January 27, 2018",2018/04,Not Stated,NS,0,Not Applicable,Not Applicable
