"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1973"	"1973"	"Not Stated"	"NS"	546	Not Applicable	Not Applicable
"Total"	"1973"	"1973"			1973003	211361965	933.5
	"1974"	"1974"	"< 1 year"	"1"	52776	3159958	1670.1
	"1974"	"1974"	"1-4 years"	"1-4"	9831	13421000	73.3
	"1974"	"1974"	"5-9 years"	"5-9"	6627	17805000	37.2
	"1974"	"1974"	"10-14 years"	"10-14"	8009	20911000	38.3
	"1974"	"1974"	"15-19 years"	"15-19"	21982	20978000	104.8
	"1974"	"1974"	"20-24 years"	"20-24"	25821	18759000	137.6
	"1974"	"1974"	"25-34 years"	"25-34"	43468	30072000	144.5
	"1974"	"1974"	"35-44 years"	"35-44"	63399	22756000	278.6
	"1974"	"1974"	"45-54 years"	"45-54"	160733	23801000	675.3
	"1974"	"1974"	"55-64 years"	"55-64"	302197	19712000	1533.1
	"1974"	"1974"	"65-74 years"	"65-74"	450461	13575000	3318.3
	"1974"	"1974"	"75-84 years"	"75-84"	500239	6781000	7377.1
	"1974"	"1974"	"85+ years"	"85+"	288332	1706000	16901.1
	"1974"	"1974"	"Not Stated"	"NS"	513	Not Applicable	Not Applicable
"Total"	"1974"	"1974"			1934388	213436958	906.3
	"1975"	"1975"	"< 1 year"	"1"	50525	3144198	1606.9
	"1975"	"1975"	"1-4 years"	"1-4"	9060	12969000	69.9
	"1975"	"1975"	"5-9 years"	"5-9"	6185	17595000	35.2
	"1975"	"1975"	"10-14 years"	"10-14"	7294	20646000	35.3
	"1975"	"1975"	"15-19 years"	"15-19"	21267	21222000	100.2
	"1975"	"1975"	"20-24 years"	"20-24"	26278	19317000	136.0
	"1975"	"1975"	"25-34 years"	"25-34"	44040	31315000	140.6
	"1975"	"1975"	"35-44 years"	"35-44"	60692	22760000	266.7
	"1975"	"1975"	"45-54 years"	"45-54"	154342	23748000	649.9
	"1975"	"1975"	"55-64 years"	"55-64"	295724	20045000	1475.3
	"1975"	"1975"	"65-74 years"	"65-74"	442496	13917000	3179.5
	"1975"	"1975"	"75-84 years"	"75-84"	489458	6958000	7034.5
	"1975"	"1975"	"85+ years"	"85+"	285077	1821000	15655.0
	"1975"	"1975"	"Not Stated"	"NS"	441	Not Applicable	Not Applicable
"Total"	"1975"	"1975"			1892879	215457198	878.5
	"1976"	"1976"	"< 1 year"	"1"	48265	3167788	1523.6
	"1976"	"1976"	"1-4 years"	"1-4"	8606	12502000	68.8
	"1976"	"1976"	"5-9 years"	"5-9"	6034	17672000	34.1
	"1976"	"1976"	"10-14 years"	"10-14"	6867	20088000	34.2
	"1976"	"1976"	"15-19 years"	"15-19"	20561	21478000	95.7
	"1976"	"1976"	"20-24 years"	"20-24"	25520	19794000	128.9
	"1976"	"1976"	"25-34 years"	"25-34"	43429	32605000	133.2
