"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Colorado"	"08"	"< 1 year"	"1"	"2023 Week 12 ending March 25, 2023 (provisional)"	"2023/12"	14	Not Applicable	Not Applicable
	"Colorado"	"08"	"< 1 year"	"1"	"2023 Week 21 ending May 27, 2023 (provisional)"	"2023/21"	10	Not Applicable	Not Applicable
	"Colorado"	"08"	"< 1 year"	"1"	"2023 Week 25 ending June 24, 2023 (provisional)"	"2023/25"	10	Not Applicable	Not Applicable
	"Colorado"	"08"	"15-19 years"	"15-19"	"2023 Week 06 ending February 11, 2023 (provisional)"	"2023/06"	10	Not Applicable	Not Applicable
	"Colorado"	"08"	"15-19 years"	"15-19"	"2023 Week 14 ending April 08, 2023 (provisional)"	"2023/14"	12	Not Applicable	Not Applicable
	"Colorado"	"08"	"15-19 years"	"15-19"	"2023 Week 23 ending June 10, 2023 (provisional)"	"2023/23"	11	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 02 ending January 14, 2023 (provisional)"	"2023/02"	11	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 09 ending March 04, 2023 (provisional)"	"2023/09"	11	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 13 ending April 01, 2023 (provisional)"	"2023/13"	12	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	11	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 16 ending April 22, 2023 (provisional)"	"2023/16"	10	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 17 ending April 29, 2023 (provisional)"	"2023/17"	10	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 18 ending May 06, 2023 (provisional)"	"2023/18"	12	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 19 ending May 13, 2023 (provisional)"	"2023/19"	11	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 21 ending May 27, 2023 (provisional)"	"2023/21"	13	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 22 ending June 03, 2023 (provisional)"	"2023/22"	10	Not Applicable	Not Applicable
	"Colorado"	"08"	"20-24 years"	"20-24"	"2023 Week 24 ending June 17, 2023 (provisional)"	"2023/24"	10	Not Applicable	Not Applicable
