Strike ID,Date,Location,Province,Type of attack,Confirmed/possible US attack?,Air operation?,Drone strike,Minimum number of strikes,Maximum number of strikes,Minimum people killed,Maximum people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum people injured,Maximum people injured,Strike link,
YEM145,27/12/2013,Shibam,Hadhramout,AirstrikePossible drone strike,Possible,1,1,1,1,1,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM145,
YEM146,31/12/2013,Mahfed,Abyan,AirstrikePossible drone strike,Possible,1,1,1,1,2,6,0,0,0,0,0,3,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM146,
YEM147,06/01/14,Radaa,Bayda,Drone strike,Confirmed,1,1,1,1,0,0,0,0,0,0,0,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM147,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#
YEM148,08/01/14,Al Qotn,Hadhramout,Drone strike,Confirmed,1,1,1,1,2,2,0,0,0,0,0,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM148,
YEM149,15/01/2014,Shibam,Hadhramout,AirstrikePossible drone strike,Possible,1,1,1,1,1,1,1,1,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM149,
YEM150,24/01/2014,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,1,3,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM150,
YEM151,03/02/14,Mahfed,Abyan,AirstrikePossible drone strike,Possible,1,1,1,1,0,4,0,0,0,0,0,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM151,
YEM152,02/03/14,Shabwan,Marib,Drone strike,Confirmed,1,1,1,1,2,3,0,0,0,0,2,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM152,
YEM153,03/03/14,Mahfed,Abyan,AirstrikePossible drone strike,Possible,1,1,1,1,1,1,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM153,
YEM154,03/03/14,Radhum,Shabwa,AirstrikePossible drone strike,Possible,1,1,1,1,2,4,0,0,0,0,2,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM154,
YEM155,05/03/14,Khalek,Jawf,Drone strike,Confirmed,1,1,1,1,2,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM155,
YEM156,10/03/14,Wadi Abida,Marib,AirstrikePossible drone strike,Possible,1,1,1,1,1,4,0,1,0,1,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM156,
YEM157,12/03/14,Khab Wal Saaf,Jawf,AirstrikePossible drone strike,Possible,1,1,1,1,2,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM157,
YEM158,01/04/14,Mahfed,Abyan,AirstrikePossible drone strike,Possible,1,1,1,1,3,3,0,0,0,0,4,4,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM158,
YEM159,19/04/2014,Sawmaa,Bayda,Drone strike,Confirmed,1,1,1,1,13,21,3,8,0,0,1,6,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM159,
YEM160,20/04/2014,Mahfed,Abyan,Drone strikeYemen Air Force airstrike,Confirmed,1,1,1,3,24,31,1,1,1,1,1,3,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM160,
YEM161,21/04/2014,Usylan,Shabwa,US-Yemen ground operationPossible drone strike,Confirmed,0,0,1,1,3,4,1,1,1,1,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM161,
YEM162,12/05/14,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,1,4,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM162,
YEM163,04/06/14,Wadi Abida,Marib,AirstrikePossible drone strike,Possible,1,1,1,1,3,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM163,
YEM164,13/06/2014,Mafraq al Saeed,Marib,Drone strike,Confirmed,1,1,1,1,5,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM164,
