,Date,Location,Confirmed/possible US strike,Air strike?,Drone strike,Strike type,Minimum strikes,Maximum strikes,Minimum people killed,Maximum people killed,Minimum civilians killed,Maximum civilians killed,Minimum children killed,Maximum children killed,Minimum people injured,Maximum people injured
SOM175,09/12/19,Vicinity of Saakow,Confirmed,1,0,Air operation - drone or air strike,1,1,1,1,0,0,0,0,0,0
SOM176,16/12/2019,Vicinity of Dujuuma,Confirmed,1,0,Air operation - drone or air strike,1,1,1,1,0,0,0,0,0,0
SOM177,29/12/2019,Qunyo Barrow,Confirmed,1,0,Air operation - drone or air strike ,2,2,2,2,0,0,0,0,0,0
SOM178,29/12/2019,Caliyoow Barrow,Confirmed,1,0,Air operation - drone or air strike,1,1,2,2,0,0,0,0,0,0
SOM179,03/01/20,Bacaw,Confirmed,1,0,Air operation - drone or air strike,1,1,3,3,0,0,0,0,0,0
SOM180,16/01/2020,Vicinity of Qunyo Barrow,Confirmed,1,0,Air operation - drone or air strike,1,1,2,2,0,0,0,0,0,0
SOM181,19/01/2020,Near Bangeeni,Confirmed,1,0,Air operation - drone or air strike,1,1,3,3,0,0,0,0,0,0
SOM182,26/01/2020,Near Jamaame,Confirmed,1,0,Air operation - drone or air strike,1,1,0,0,0,0,0,0,0,0
SOM183,27/01/2020,Vicinity of Jilib,Confirmed,1,0,Air operation - drone or air strike,1,1,1,1,0,1,0,0,0,0
SOM184,29/01/2020,Vicinity of Jilib,Confirmed,1,0,Air operation - drone or air strike,1,1,0,0,0,0,0,0,0,0
SOM185,02/02/20,Vicinity of Jilib,Confirmed,1,0,Air operation - drone or air strike,1,1,1,2,0,1,0,0,0,2
SOM186,04/02/20,Vicinity of Beer Xaani,Confirmed,1,0,Air operation - drone or air strike,1,1,1,1,0,0,0,0,0,0
SOM187,06/02/20,Vicinity of Jilib,Confirmed,1,0,Air operation - drone or air strike,2,2,0,0,0,0,0,0,2,2
SOM188,17/02/2020,Vicinity of Jilib,Confirmed,1,0,Air operation - drone or air strike,1,1,0,0,0,0,0,0,0,0
SOM189,19/02/2020,Vicinity of Wadajir,Confirmed,1,0,Air operation - drone or air strike,1,1,3,3,0,0,0,0,0,0
