Notes,Year,Year Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,2001,2001,25-34 years,25-34,41683,39471522,105.6
,2001,2001,35-44 years,35-44,91674,45051752,203.5
,2001,2001,45-54 years,45-54,168065,39386268,426.7
,2001,2001,55-64 years,55-64,244139,25105295,972.5
,2001,2001,65-74 years,65-74,430960,18384179,2344.2
,2001,2001,75-84 years,75-84,701929,12593618,5573.7
,2001,2001,85+ years,85+,665531,4312494,15432.6
,2001,2001,Not Stated,NS,422,Not Applicable,Not Applicable
Total,2001,2001,,,2416425,284968955,848
,2002,2002,< 1 year,1,28034,3951461,709.5
,2002,2002,1-4 years,1-4,4858,15477731,31.4
,2002,2002,5-9 years,5-9,3018,19872417,15.2
,2002,2002,10-14 years,10-14,4132,21261421,19.4
,2002,2002,15-19 years,15-19,13812,20610370,67
,2002,2002,20-24 years,20-24,19234,20243765,95
,2002,2002,25-34 years,25-34,41355,39349646,105.1
,2002,2002,35-44 years,35-44,91140,44640649,204.2
,2002,2002,45-54 years,45-54,172385,39992194,431
,2002,2002,55-64 years,55-64,253342,26703332,948.7
,2002,2002,65-74 years,65-74,422990,18388535,2300.3
,2002,2002,75-84 years,75-84,707654,12764864,5543.8
,2002,2002,85+ years,85+,681076,4368808,15589.5
,2002,2002,Not Stated,NS,357,Not Applicable,Not Applicable
Total,2002,2002,,,2443387,287625193,849.5
,2003,2003,< 1 year,1,28025,3975871,704.9
,2003,2003,1-4 years,1-4,4965,15616575,31.8
,2003,2003,5-9 years,5-9,2898,19620851,14.8
,2003,2003,10-14 years,10-14,4056,21415353,18.9
,2003,2003,15-19 years,15-19,13595,20797166,65.4
,2003,2003,20-24 years,20-24,19973,20591688,97
,2003,2003,25-34 years,25-34,41300,39243795,105.2
,2003,2003,35-44 years,35-44,89461,44154206,202.6
,2003,2003,45-54 years,45-54,176781,40819954,433.1
,2003,2003,55-64 years,55-64,262519,28008945,937.3
,2003,2003,65-74 years,65-74,413497,18500915,2235
,2003,2003,75-84 years,75-84,703024,12896438,5451.3
,2003,2003,85+ years,85+,687852,4466176,15401.4
,2003,2003,Not Stated,NS,342,Not Applicable,Not Applicable
Total,2003,2003,,,2448288,290107933,843.9
,2004,2004,< 1 year,1,27936,4014258,695.9
,2004,2004,1-4 years,1-4,4785,15771627,30.3
,2004,2004,5-9 years,5-9,2888,19454237,14.8
,2004,2004,10-14 years,10-14,3946,21411680,18.4
,2004,2004,15-19 years,15-19,13706,21102552,64.9
,2004,2004,20-24 years,20-24,19715,20845560,94.6
,2004,2004,25-34 years,25-34,40868,39266556,104.1
,2004,2004,35-44 years,35-44,85362,43800275,194.9
,2004,2004,45-54 years,45-54,177697,41629930,426.8
,2004,2004,55-64 years,55-64,264697,29305304,903.2
,2004,2004,65-74 years,65-74,399666,18667533,2141
,2004,2004,75-84 years,75-84,684230,12989903,5267.4
,2004,2004,85+ years,85+,671773,4545883,14777.6
,2004,2004,Not Stated,NS,346,Not Applicable,Not Applicable
Total,2004,2004,,,2397615,292805298,818.8
,2005,2005,< 1 year,1,28440,4004393,710.2
,2005,2005,1-4 years,1-4,4756,15913007,29.9
,2005,2005,5-9 years,5-9,2837,19389067,14.6
,2005,2005,10-14 years,10-14,3765,21212579,17.7
,2005,2005,15-19 years,15-19,13703,21486214,63.8
,2005,2005,20-24 years,20-24,20531,20959955,98
,2005,2005,25-34 years,25-34,41925,39258647,106.8
,2005,2005,35-44 years,35-44,84785,43505538,194.9
,2005,2005,45-54 years,45-54,183530,42495904,431.9
,2005,2005,55-64 years,55-64,275301,30641497,898.5
,2005,2005,65-74 years,65-74,398355,18881697,2109.7
,2005,2005,75-84 years,75-84,686665,13074802,5251.8
,2005,2005,85+ years,85+,703169,4693299,14982.4
,2005,2005,Not Stated,NS,255,Not Applicable,Not Applicable
Total,2005,2005,,,2448017,295516599,828.4
,2006,2006,< 1 year,1,28527,4041738,705.8
,2006,2006,1-4 years,1-4,4631,15897145,29.1
,2006,2006,5-9 years,5-9,2735,19544688,14
,2006,2006,10-14 years,10-14,3414,21033138,16.2
,2006,2006,15-19 years,15-19,13739,21807709,63
,2006,2006,20-24 years,20-24,21148,21036135,100.5
,2006,2006,25-34 years,25-34,42952,39395179,109
,2006,2006,35-44 years,35-44,83043,43243801,192
,2006,2006,45-54 years,45-54,185031,43286159,427.5
,2006,2006,55-64 years,55-64,281401,31930113,881.3
,2006,2006,65-74 years,65-74,390093,19203027,2031.4
,2006,2006,75-84 years,75-84,667338,13095151,5096.1
,2006,2006,85+ years,85+,701992,4865929,14426.7
,2006,2006,Not Stated,NS,220,Not Applicable,Not Applicable
Total,2006,2006,,,2426264,298379912,813.1
,2007,2007,< 1 year,1,29138,4147997,702.5
,2007,2007,1-4 years,1-4,4703,15977965,29.4
,2007,2007,5-9 years,5-9,2711,19714611,13.8
,2007,2007,10-14 years,10-14,3436,20841042,16.5
,2007,2007,15-19 years,15-19,13299,22067816,60.3
,2007,2007,20-24 years,20-24,20683,21077999,98.1
,2007,2007,25-34 years,25-34,42572,39713463,107.2
,2007,2007,35-44 years,35-44,79606,42796230,186
,2007,2007,45-54 years,45-54,184686,43939939,420.3
,2007,2007,55-64 years,55-64,287110,33128434,866.7
,2007,2007,65-74 years,65-74,389238,19698727,1976
,2007,2007,75-84 years,75-84,652682,13087439,4987.1
,2007,2007,85+ years,85+,713647,5039545,14160.9
,2007,2007,Not Stated,NS,201,Not Applicable,Not Applicable
Total,2007,2007,,,2423712,301231207,804.6
,2008,2008,< 1 year,1,28059,4132735,678.9
,2008,2008,1-4 years,1-4,4730,16138392,29.3
,2008,2008,5-9 years,5-9,2502,19929602,12.6
,2008,2008,10-14 years,10-14,3149,20706655,15.2
,2008,2008,15-19 years,15-19,12407,22210880,55.9
,2008,2008,20-24 years,20-24,19791,21180612,93.4
,2008,2008,25-34 years,25-34,42275,40207473,105.1
,2008,2008,35-44 years,35-44,76370,42192486,181
,2008,2008,45-54 years,45-54,186542,44460447,419.6
,2008,2008,55-64 years,55-64,296182,34157063,867.1
,2008,2008,65-74 years,65-74,401579,20505679,1958.4
,2008,2008,75-84 years,75-84,653560,13076102,4998.1
,2008,2008,85+ years,85+,744691,5195840,14332.4
,2008,2008,Not Stated,NS,147,Not Applicable,Not Applicable
Total,2008,2008,,,2471984,304093966,812.9
,2009,2009,< 1 year,1,26412,4003587,659.7
,2009,2009,1-4 years,1-4,4450,16240931,27.4
,2009,2009,5-9 years,5-9,2523,20182499,12.5
,2009,2009,10-14 years,10-14,3128,20660564,15.1
,2009,2009,15-19 years,15-19,11520,22192810,51.9
,2009,2009,20-24 years,20-24,18896,21384122,88.4
,2009,2009,25-34 years,25-34,42502,40723342,104.4
,2009,2009,35-44 years,35-44,74665,41487811,180
,2009,2009,45-54 years,45-54,187568,44867088,418.1
,2009,2009,55-64 years,55-64,303307,35405600,856.7
,2009,2009,65-74 years,65-74,401032,21233099,1888.7
,2009,2009,75-84 years,75-84,627727,13022775,4820.2
,2009,2009,85+ years,85+,733178,5367301,13660.1
,2009,2009,Not Stated,NS,255,Not Applicable,Not Applicable
Total,2009,2009,,,2437163,306771529,794.5
,2010,2010,< 1 year,1,24586,3944153,623.4
,2010,2010,1-4 years,1-4,4316,16257209,26.5
,2010,2010,5-9 years,5-9,2330,20348657,11.5
,2010,2010,10-14 years,10-14,2949,20677194,14.3
,2010,2010,15-19 years,15-19,10887,22040343,49.4
,2010,2010,20-24 years,20-24,18664,21585999,86.5
,2010,2010,25-34 years,25-34,42259,41063948,102.9
,2010,2010,35-44 years,35-44,70033,41070606,170.5
,2010,2010,45-54 years,45-54,183207,45006716,407.1
,2010,2010,55-64 years,55-64,310802,36482729,851.9
,2010,2010,65-74 years,65-74,407151,21713429,1875.1
,2010,2010,75-84 years,75-84,625651,13061122,4790.2
,2010,2010,85+ years,85+,765474,5493433,13934.3
,2010,2010,Not Stated,NS,126,Not Applicable,Not Applicable
Total,2010,2010,,,2468435,308745538,799.5
,2011,2011,< 1 year,1,23985,3996537,600.1
,2011,2011,1-4 years,1-4,4246,16165521,26.3
,2011,2011,5-9 years,5-9,2451,20334196,12.1
,2011,2011,10-14 years,10-14,2950,20704852,14.2
,2011,2011,15-19 years,15-19,10594,21644043,48.9
,2011,2011,20-24 years,20-24,19073,22153832,86.1
,2011,2011,25-34 years,25-34,43748,41790498,104.7
,2011,2011,35-44 years,35-44,69893,40627954,172
,2011,2011,45-54 years,45-54,183247,44718203,409.8
,2011,2011,55-64 years,55-64,323315,38062140,849.4
,2011,2011,65-74 years,65-74,415052,22481738,1846.2
,2011,2011,75-84 years,75-84,626225,13175230,4753
,2011,2011,85+ years,85+,790545,5737173,13779.3
,2011,2011,Not Stated,NS,134,Not Applicable,Not Applicable
Total,2011,2011,,,2515458,311591917,807.3
,2012,2012,< 1 year,1,23629,3943077,599.3
,2012,2012,1-4 years,1-4,4218,16056267,26.3
,2012,2012,5-9 years,5-9,2334,20475536,11.4
,2012,2012,10-14 years,10-14,2866,20669218,13.9
,2012,2012,15-19 years,15-19,10074,21360702,47.2
,2012,2012,20-24 years,20-24,19108,22583203,84.6
,2012,2012,25-34 years,25-34,44591,42309321,105.4
,2012,2012,35-44 years,35-44,69162,40516420,170.7
,2012,2012,45-54 years,45-54,179463,44268738,405.4
,2012,2012,55-64 years,55-64,329606,38586202,854.2
,2012,2012,65-74 years,65-74,432346,23985392,1802.5
,2012,2012,75-84 years,75-84,620428,13272634,4674.5
,2012,2012,85+ years,85+,805307,5887330,13678.6
,2012,2012,Not Stated,NS,147,Not Applicable,Not Applicable
Total,2012,2012,,,2543279,313914040,810.2
,2013,2013,< 1 year,1,23440,3941783,594.7
,2013,2013,1-4 years,1-4,4068,15926305,25.5
,2013,2013,5-9 years,5-9,2427,20570581,11.8
,2013,2013,10-14 years,10-14,2913,20650454,14.1
,2013,2013,15-19 years,15-19,9480,21158964,44.8
,2013,2013,20-24 years,20-24,19006,22795438,83.4
,2013,2013,25-34 years,25-34,45463,42844587,106.1
,2013,2013,35-44 years,35-44,69573,40452690,172
,2013,2013,45-54 years,45-54,177724,43767532,406.1
,2013,2013,55-64 years,55-64,338127,39316431,860
,2013,2013,65-74 years,65-74,454429,25216766,1802.1
,2013,2013,75-84 years,75-84,625013,13446519,4648.1
,2013,2013,85+ years,85+,825198,6040789,13660.4
,2013,2013,Not Stated,NS,132,Not Applicable,Not Applicable
Total,2013,2013,,,2596993,316128839,821.5
,2014,2014,< 1 year,1,23215,3948350,588
,2014,2014,1-4 years,1-4,3830,15928533,24
,2014,2014,5-9 years,5-9,2357,20519566,11.5
,2014,2014,10-14 years,10-14,2893,20671506,14
,2014,2014,15-19 years,15-19,9586,21067647,45.5
,2014,2014,20-24 years,20-24,19205,22912174,83.8
,2014,2014,25-34 years,25-34,47177,43516504,108.4
,2014,2014,35-44 years,35-44,70996,40513133,175.2
,2014,2014,45-54 years,45-54,175917,43458851,404.8
,2014,2014,55-64 years,55-64,348808,40077581,870.3
,2014,2014,65-74 years,65-74,471541,26398290,1786.3
,2014,2014,75-84 years,75-84,624504,13682690,4564.2
,2014,2014,85+ years,85+,826226,6162231,13407.9
,2014,2014,Not Stated,NS,163,Not Applicable,Not Applicable
Total,2014,2014,,,2626418,318857056,823.7
,2015,2015,< 1 year,1,23455,3978038,589.6
,2015,2015,1-4 years,1-4,3965,15929243,24.9
,2015,2015,5-9 years,5-9,2402,20487176,11.7
,2015,2015,10-14 years,10-14,3009,20622330,14.6
,2015,2015,15-19 years,15-19,10186,21108903,48.3
,2015,2015,20-24 years,20-24,20308,22739313,89.3
,2015,2015,25-34 years,25-34,51517,44137202,116.7
,2015,2015,35-44 years,35-44,73088,40589783,180.1
,2015,2015,45-54 years,45-54,174494,43188161,404
,2015,2015,55-64 years,55-64,357785,40877819,875.3
,2015,2015,65-74 years,65-74,495016,27550517,1796.8
,2015,2015,75-84 years,75-84,637566,13923174,4579.2
,2015,2015,85+ years,85+,859701,6287161,13673.9
,2015,2015,Not Stated,NS,138,Not Applicable,Not Applicable
Total,2015,2015,,,2712630,321418820,844
,2016,2016,< 1 year,1,23161,3970145,583.4
,2016,2016,1-4 years,1-4,4045,15956892,25.3
,2016,2016,5-9 years,5-9,2490,20429799,12.2
,2016,2016,10-14 years,10-14,3013,20618233,14.6
,2016,2016,15-19 years,15-19,10812,21129999,51.2
,2016,2016,20-24 years,20-24,21763,22381028,97.2
,2016,2016,25-34 years,25-34,57616,44677243,129
,2016,2016,35-44 years,35-44,77792,40470156,192.2
,2016,2016,45-54 years,45-54,173516,42786679,405.5
,2016,2016,55-64 years,55-64,366445,41463144,883.8
,2016,2016,65-74 years,65-74,512080,28630330,1788.6
,2016,2016,75-84 years,75-84,636916,14233534,4474.8
,2016,2016,85+ years,85+,854462,6380331,13392.1
,2016,2016,Not Stated,NS,137,Not Applicable,Not Applicable
Total,2016,2016,,,2744248,323127513,849.3
