Strike ID,Date,Location,Area,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Strike link,,Index
Ob227,11/07/11,Gurwak,North Waziristan,4,12,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob227,,278
Ob228,12/07/11,Gurwak,North Waziristan,12,25,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob228,,279
Ob229,12/07/11,Barmal,South Waziristan,5,13,0,0,0,0,3,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob229,,280
Ob230,12/07/11,Datta Khel,North Waziristan,13,15,0,4,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob230,,281
Ob231,12/07/11,Datta Khel,North Waziristan,1,9,1,1,0,0,3,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob231,,282
Ob232,20/07/2011,Mir Ali,North Waziristan,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob232,,283
Ob233,01/08/11,Azam Warsak,South Waziristan,3,6,0,6,0,0,2,7,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob233,,284
Ob234,02/08/11,Qutab Khel,North Waziristan,3,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob234,,285
Ob235,10/08/11,Miram Shah,North Waziristan,8,25,0,0,0,0,3,8,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob235,,286
Ob236,16/08/2011,Miram Shah,North Waziristan,2,7,3,4,1,1,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob236,,287
Ob237,19/08/2011,Shin Warsak,South Waziristan,3,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob237,,288
Ob238,22/08/2011,"Mir Koon Khel, Mir Ali",North Waziristan,3,7,0,4,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob238,,289
Ob239,11/09/11,Hisokhel,North Waziristan,1,5,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob239,,290
Ob240,23/09/2011,Khushali,North Waziristan,3,8,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob240,,291
Ob241,27/09/2011,Azam Warsak,South Waziristan,0,4,0,0,0,0,0,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob241,,292
Ob242,30/09/2011,Baghar,South Waziristan,3,4,0,0,0,0,1,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob242,,293
Ob243,13/10/2011,Danda Darpakhel,North Waziristan,1,6,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob243,,294
Ob244,13/10/2011,"Chashma Nala, Birmal",South Waziristan,3,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob244,,295
Ob245,14/10/2011,Danda Darpakhel,North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob245,,296
Ob246,15/10/2011,Angor Adda,South Waziristan,3,6,0,0,0,0,3,7,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob246,,297
Ob247,26/10/2011,"Shana Wana, Birmal",South Waziristan,13,22,0,0,0,0,6,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob247,,298
Ob248,27/10/2011,Azam Warsak,South Waziristan,4,6,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob248,,299
Ob249,27/10/2011,Hisokhel,North Waziristan,4,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob249,,300
Ob250,30/10/2011,"Khar Khama, Datta Khel",North Waziristan,4,6,4,4,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob250,,301
Ob251,31/10/2011,Norak,North Waziristan,2,4,2,2,2,2,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob251,,302
Ob252,03/11/11,"Sarai Darpa Khel, Miranshah",North Waziristan,2,3,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob252,,303
Ob253,15/11/2011,Miram Shah,North Waziristan,3,7,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob253,,304
Ob254,16/11/2011,Babar Ghar,South Waziristan,4,22,0,0,0,0,6,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob254,,305
Ob255,17/11/2011,Shawal,North Waziristan,7,9,0,0,0,0,3,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob255,,306
Ob256,10/01/12,Miram Shah,North Waziristan,1,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob256,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#,307
Ob257,12/01/12,Datta Khel,North Waziristan,5,9,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob257,,308
Ob258,23/01/2012,Deegan,North Waziristan,2,5,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob258,,309
Ob259,23/01/2012,"Char Khel, Datta Khel",North Waziristan,0,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob259,,310
Ob260,08/02/12,Miranshah,North Waziristan,9,10,0,0,0,0,2,12,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob260,,311
Ob261,09/02/12,Miranshah,North Waziristan,3,8,0,3,0,1,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob261,,312
Ob262,16/02/2012,Miranshah,North Waziristan,5,6,0,0,0,0,4,7,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob262,,313
Ob263,16/02/2012,"Jalar Zakar Khel, Mir Ali",North Waziristan,8,15,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob263,,314
Ob264,09/03/12,Shaktoi Mandao,South Waziristan,4,15,0,0,0,0,0,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob264,,315
Ob265,09/03/12,Nishpa,South Waziristan,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob265,,316
Ob266,13/03/2012,"Wagdalai, Tehsil Birmal",South Waziristan,6,8,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob266,,317
Ob267,13/03/2012,Shawa,North/South Waziristan,6,7,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob267,,318
Ob268,30/03/2012,"Sarai Bazaar, Miranshah",North Waziristan,3,4,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob268,,319
Ob269,29/04/2012,Miranshah Bazaar,North Waziristan,3,6,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob269,,320
Ob270,05/05/12,"Guldar Kot, Dre Nishtar area",North Waziristan,8,10,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob270,,321
Ob271,23/05/2012,Datta Khel Kalai,North Waziristan,1,5,0,0,0,0,1,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob271,,322
Ob272,24/05/2012,Khassokhel near Mir Ali,North Waziristan,5,12,0,8,0,0,3,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob272,,323
Ob273,26/05/2012,Miranshah,North Waziristan,1,4,0,0,0,0,1,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob273,,324
Ob274,28/05/2012,Khassokhel near Mir Ali,North Waziristan,4,10,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob274,,325
Ob275,28/05/2012,"Degan, Datta Khel",North Waziristan,2,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob275,,326
Ob276,02/06/12,"Khawashi Khel, near Wana",South Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob276,,327
Ob277,03/06/12,"Landai Warai, Tehsil Birmal",South Waziristan,0,10,0,0,0,0,4,10,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob277,,328
Ob278,04/06/12,"Khushali, Tehsil Mir Ali",North Waziristan,14,18,0,6,0,0,3,6,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob278,,329
Ob279,13/06/2012,"Isha, near Miranshah",North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob279,,330
Ob280,14/06/2012,Miranshah,North Waziristan,1,4,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob280,,331
Ob281,26/06/2012,Shawal,North Waziristan,4,7,0,0,0,0,2,7,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob281,,332
Ob282,01/07/12,Dre Nishter/Shawal,North Waziristan,6,9,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob282,,333
Ob283,06/07/12,Maizer,North Waziristan,13,24,3,18,0,0,2,22,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob283,,334
Ob284,23/07/2012,Dre Nishter/Shawal,North Waziristan,11,14,6,14,0,0,2,11,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob284,,335
Ob285,29/07/2012,Kushhali Turkhel,North Waziristan,4,7,0,3,0,0,4,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob285,,336
Ob286,18/08/2012,"Mammon Narai, Shuweda",North Waziristan,5,12,1,1,0,0,2,9,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob286,,337
Ob287,19/08/2012,"Mana, Shawal",North Waziristan,4,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob287,,338
Ob288,19/08/2012,"Mana, Shawal",North Waziristan,2,3,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob288,,339
Ob289,21/08/2012,"Shnakhura, Datta Khel",North Waziristan,4,25,1,3,1,1,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob289,,340
Ob290,24/08/2012,"Makai/Maki Ghar, Shawal",North Waziristan,13,22,0,0,0,0,4,14,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob290,,341
Ob291,24/08/2012,"Dara, Shawal",North Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob291,,342
Ob292,24/08/2012,"Dre Nishter, Shawal",North Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob292,,343
Ob293,01/09/12,Degan,North Waziristan,4,6,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob293,,344
Ob294,21/09/2012,Mohammed Khel/Datta Khel,North Waziristan,3,4,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob294,,345
Ob295,24/09/2012,"Mosaki - Inzar Abad, Tehsil Mir Ali",North Waziristan,3,8,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob295,,346
Ob296,01/10/12,Khadar Khel,North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob296,,347
Ob297,10/10/12,"Hurmaz, Teshil Mir Ali",North Waziristan,3,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob297,,348
Ob298,11/10/12,Buland Khel,Orakzai Agency,16,26,0,2,0,0,5,15,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob298,,349
Ob299,24/10/2012,Village Ghundi Killi Daur Tappi area of Tehsil Miranshah,North Waziristan,1,1,1,1,0,0,6,9,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob299,,350
Ob300,29/11/2012,Shin Warsak,South Waziristan,1,4,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob300,,351
Ob301,01/12/12,Shin Warsak,South Waziristan,1,4,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob301,,352
Ob302,06/12/12,"Noorak Mubarak Shahi area, Tehsil Mir Ali",North Waziristan,2,11,1,1,0,0,1,6,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob302,,353
Ob303,09/12/12,"Tabbi Tor Khel, Tehisl Ghulam Khan",North Waziristan,2,4,0,3,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob303,,354
Ob304,21/12/2012,"Hassokhel, near Mir Ali",North Waziristan,3,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob304,,355
Ob305,29/12/2012,"Gurbaz, Shawal",North Waziristan,4,5,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob305,,356
Ob306,02/01/13,"Lajhmarai area, Tehsil Birmal",South Waziristan,6,11,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob306,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#,357
Ob307,03/01/13,"Ghundi Killi, Tappi area, Tehsil Miranshah",North Waziristan,3,6,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob307,,358
Ob308,06/01/13,"Smal Narai area, Tehsil Ladha",South Waziristan,8,18,0,0,0,0,3,7,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob308,,359
Ob309,08/01/13,"Haiderkhel, near Mir Ali",North Waziristan,4,9,0,2,0,1,1,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob309,,360
Ob310,08/01/13,"Malangan Hassokhel, Tehsil Mir Ali",North Waziristan,0,9,0,0,0,0,1,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob310,,361
Ob311,10/01/13,"Hassokhel, near Mir Ali",North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob311,,362
Ob312,06/02/13,Spinwam,North Waziristan,3,5,0,2,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob312,,363
Ob313,08/02/13,Babar Ghar,South Waziristan,6,9,0,0,0,0,2,6,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob313,,364
Ob314,10/03/13,Datta Khel,North Waziristan,1,3,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob314,,365
Ob315,22/03/2013,"New Adda, Tehsil Datta Khel",North Waziristan,1,4,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob315,,366
Ob316,14/04/2013,Datta Khel,North Waziristan,4,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob316,,367
Ob317,17/04/2013,"Pobar, Tehsil Ladha",South Waziristan,4,6,0,0,0,0,2,7,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob317,,368
Ob318,29/05/2013,"Qazi Kot, Tehsil Miranshah",North Waziristan,3,7,0,0,0,0,1,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob318,,369
Ob319,07/06/13,"Shui Khel Mandi, Tehsil Shawal",North Waziristan,7,11,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob319,,370
Ob320,03/07/13,"Shui Khel Mandi, Tehsil Shawal",North Waziristan,16,18,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob320,,371
Ob321,13/07/2013,Khray Chila Mossaki area of Mir Ali,North Waziristan,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob321,,372
Ob322,28/07/2013,"Zoi Nair, Tehsil Shawal",North Waziristan,5,8,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob322,,373
Ob323,31/08/2013,"Mossaki, Tehsil Mir Ali",North Waziristan,3,4,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob323,,374
Ob324,06/09/13,"Tabi, Tehsil Ghulam Khan",North Waziristan,5,7,0,0,0,0,3,7,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob324,,375
Ob325,22/09/2013,"ShawalPalgai area, Thesil Makin",North/South Waziristan,6,7,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob325,,376
Ob326,29/09/2013,Darga Mandi,North Waziristan,3,6,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob326,,377
Ob327,30/09/2013,"Land Char Khel, Tehsil Datta Khel",North Waziristan,1,4,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob327,,378
Ob328,31/10/2013,Miranshah,North Waziristan,0,5,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob328,,379
Ob329,01/11/13,Dandi Darpakhel,North Waziristan,4,7,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob329,,380
Ob330,21/11/2013,"Tal, Hangu District",Khyber Pakhtunkhwa province,6,9,0,0,0,0,1,9,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob330,,381
Ob331,29/11/2013,Miranshah,North Waziristan,2,3,0,0,0,0,1,2,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob331,,382
Ob332,25/12/2013,"Qutab Khel, Miranshah",North Waziristan,3,4,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob332,,383
Ob333,11/06/14,Tabi Tolkhel or Darga Mandi,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob333,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#,384
Ob334,12/06/14,"Darga Mandi, Dande Darpakhel or Ghulam Khan",North Waziristan,6,10,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob334,,385
Ob335,18/06/2014,"Darga Mandi, Dande Darpakhel or Miranshah",North Waziristan,4,8,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob335,,386
Ob336,10/07/14,"Madakhel village, Datta Khel Tehsil",North Waziristan,6,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob336,,387
Ob337,16/07/2014,"Saidgai, Datta Khel tehsil",North Waziristan,15,24,0,0,0,0,4,6,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob337,,388
Ob338,19/07/2014,"Doga Madakhel, Datta Khel tehsil",North Waziristan,11,15,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob338,,389
Ob339,05/08/14,"Lawara Mandi village, Datta Khel tehsil",North Waziristan,5,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob339,,390
Ob340,24/09/2014,"Alwara Mandi village, Datta Khel tehsil",North Waziristan,5,11,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob340,,391
Ob341,28/09/2014,Wana,South Waziristan,2,4,0,0,0,0,1,4,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob341,,392
Ob342,05/10/14,"Kundhgar, Shawal",South Waziristan,4,5,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob342,,393
Ob343,06/10/14,"Mangrotai, Shawal",South Waziristan,4,8,0,0,0,0,4,6,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob343,,394
Ob344,07/10/14,"Kundhgar, Shawal",South Waziristan,4,7,0,0,0,0,5,11,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob344,,395
Ob345,07/10/14,"Kundser, Datta Khel",North Waziristan,2,4,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob345,,396
Ob346,08/10/14,"Loman, Datta Khel",North Waziristan,2,4,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob346,,397
Ob347,09/10/14,Datta Khel,North Waziristan,3,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob347,,398
Ob348,11/10/14,Tirah Valley,Khyber Agency,4,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob348,,399
Ob349,11/10/14,"Marga, Shawal",North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob349,,400
Ob350,30/10/2014,"Nargas village, Azam Warsak",South Waziristan,4,7,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob350,,401
Ob351,11/11/14,"Dawa Toi, Datta Khel",North Waziristan,4,7,0,2,0,2,2,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob351,,402
Ob352,20/11/2014,Datta Khel,North Waziristan,5,8,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob352,,403
Ob353,26/11/2014,"Garga, Shawal",North Waziristan,4,9,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob353,,404
Ob354,07/12/14,"Khar Tangi, Datta Khel",North Waziristan,4,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob354,,405
Ob355,20/12/2014,Datta Khel,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob355,,406
Ob356,26/12/2014,"Kund/Kundghar village, Shawal",North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob356,,407
Ob357,26/12/2014,"Kund/Kundghar village, Shawal",North Waziristan,3,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob357,,408
Ob358,04/01/15,"Alwara Mandi, Datta Khel or Shawal",North Waziristan,6,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob358,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#,409
Ob359,15/01/2015,Shawal,North Waziristan,5,7,2,2,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob359,,410
Ob360,15/01/2015,Ladha district,South Waziristan,4,7,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob360,,411
Ob361,19/01/2015,"Shahi Khel, Shawal",North Waziristan,5,7,0,0,0,0,4,6,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob361,,412
Ob362,28/01/2015,Shawal,North Waziristan,6,7,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob362,,413
Ob363,18/03/2015,Shabak,Kurram Agency,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob363,,414
Ob364,12/04/15,Shawal,North Waziristan,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob364,,415
Ob365,16/05/2015,"Wara Mandi, Shawal",North Waziristan,4,7,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob365,,416
Ob366,18/05/2015,"Zoy Nari, Shawal",North Waziristan,3,6,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob366,,417
Ob367,01/06/15,Shawal,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob367,,418
Ob368,06/06/15,Shawal or Datta Khel,North Waziristan,7,9,0,3,0,0,4,4,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob368,,419
Ob369,06/08/15,"Alwara Mandi area, Datta Khel",North Waziristan,4,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob369,,420
Ob370,01/09/15,"Karwanda village, Manzarkhel area, Dattakhel sub-division or Lawara Banga area of Shawal valley",North Waziristan,5,6,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob370,,421
Ob371,09/01/16,"Mangrooti village, Shawal valley, Datta Khel tehsil",North Waziristan,5,5,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#Ob371,https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#,422
Ob372,22/02/2016,"Shahidano Dhand, Lower Kurram",Kurram Agency,4,5,0,0,0,0,1,4,https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#Ob372,https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#,423
